name,type,category,region,latitude,longitude
1001 Mississippi Canyon,Canyon,Canyons,Florida to California,28.65767,-89.15467
1021 Mississippi Canyon,Canyon,Canyons,Florida to California,28.78783,-89.05383
1035 Mississippi Canyon,Canyon,Canyons,Florida to California,28.85750,-88.91900
2400 Canaveral Canyons,Canyon,Canyons,Florida to California,28.77500,-79.65417
2950 Mississippi Canyon,Canyon,Canyons,Florida to California,28.16992,-89.22463
475 Mississippi Canyon,Canyon,Canyons,Florida to California,28.94883,-88.97083
480 Mississippi Canyon,Canyon,Canyons,Florida to California,28.91500,-89.02367
620 Mississippi Canyon,Canyon,Canyons,Florida to California,28.60050,-89.30683
650 Mississippi Canyon,Canyon,Canyons,Florida to California,28.79633,-89.17700
Arguello Canyon,Canyon,Canyons,Florida to California,34.36670,-121.06670
Bimini Canyon,Canyon,Canyons,Florida to California,25.70571,-79.32209
Box Canyon,Canyon,Canyons,Florida to California,33.32150,-117.50870
Box Canyon #2,Canyon,Canyons,Florida to California,33.31800,-117.52930
Canyon Edge,Canyon,Canyons,Florida to California,27.70292,-95.69515
Canyon Hill,Canyon,Canyons,Florida to California,28.65497,-89.81175
Caseys Canyons,Canyon,Canyons,Florida to California,27.17500,-79.29167
Catch ALL Canyon,Canyon,Canyons,Florida to California,26.85121,-79.76671
Catch ALL Canyon Lower,Canyon,Canyons,Florida to California,26.81910,-79.76122
Coronado Canyon,Canyon,Canyons,Florida to California,32.50500,-117.29170
Cresent Canyon,Canyon,Canyons,Florida to California,29.67002,-79.91489
DE Soto Canyon,Canyon,Canyons,Florida to California,28.99999,-87.50000
Desoto Canyon,Canyon,Canyons,Florida to California,29.09200,-87.48000
Dorsey Canyon,Canyon,Canyons,Florida to California,28.86899,-88.02762
Green Canyon 6,Canyon,Canyons,Florida to California,27.94675,-91.64613
Mississippi Canyon,Canyon,Canyons,Florida to California,28.15233,-89.10217
Mississippi Canyon 148,Canyon,Canyons,Florida to California,28.79489,-89.17630
Mississippi Canyon 486,Canyon,Canyons,Florida to California,28.45657,-89.85182
North Canyon,Canyon,Canyons,Florida to California,24.63775,-81.09345
Poveromo Canyon,Canyon,Canyons,Florida to California,25.95833,-79.74167
Pygmy Canyon,Canyon,Canyons,Florida to California,26.50514,-78.61550
Redondo Canyon West Wall,Canyon,Canyons,Florida to California,33.83400,-118.43670
Silver Canyon,Canyon,Canyons,Florida to California,33.31830,-118.39150
Sounder Canyon,Canyon,Canyons,Florida to California,29.06666,-88.13333
South Canyon,Canyon,Canyons,Florida to California,24.60692,-81.18325
The Canyons,Canyon,Canyons,Florida to California,28.60630,-84.26018
WPB Canyon,Canyon,Canyons,Florida to California,26.74810,-79.97921
116 Hole,Hole,Holes,Florida to California,30.13883,-87.18317
116 Hole,Hole,Holes,Florida to California,30.16127,-87.17013
13 Fathom Hole,Hole,Holes,Florida to California,28.51557,-83.54397
131 Hole,Hole,Holes,Florida to California,29.66833,-87.13500
131 Hole,Hole,Holes,Florida to California,29.80600,-87.09893
136 Hole,Hole,Holes,Florida to California,30.24257,-87.14243
16 Fathom Hole,Hole,Holes,Florida to California,30.29958,-81.04852
17 Hole,Hole,Holes,Florida to California,30.11667,-87.24433
180′ Section Sculpin Hole,Hole,Holes,Florida to California,33.57400,-117.99880
19 Fathom Hole,Hole,Holes,Florida to California,30.24597,-80.98963
19 Foot Hole,Hole,Holes,Florida to California,30.51792,-81.03518
2 Holes,Hole,Holes,Florida to California,30.12977,-80.33498
20 Foot Hole,Hole,Holes,Florida to California,26.87298,-82.12892
20 Fthole,Hole,Holes,Florida to California,26.87184,-82.12895
21 Hole,Hole,Holes,Florida to California,30.03167,-87.22000
21 Hole,Hole,Holes,Florida to California,30.03233,-87.21578
21 Hole,Hole,Holes,Florida to California,30.03670,-87.21450
21 Hole,Hole,Holes,Florida to California,30.04080,-87.18395
21 Hole South,Hole,Holes,Florida to California,29.98167,-87.20667
306 Hole,Hole,Holes,Florida to California,30.18118,-87.13967
32. 5 Edge Hole,Hole,Holes,Florida to California,29.91000,-87.21333
60 Hole,Hole,Holes,Florida to California,30.20795,-87.13500
60 Hole,Hole,Holes,Florida to California,30.20943,-87.13530
60 Percent Hole,Hole,Holes,Florida to California,25.28079,-82.28505
A Hole,Hole,Holes,Florida to California,27.20862,-80.11728
A J Hole,Hole,Holes,Florida to California,27.28088,-83.13257
A J Hole,Hole,Holes,Florida to California,30.22017,-87.33770
Ahole,Hole,Holes,Florida to California,30.34585,-80.63107
Ajhole 1,Hole,Holes,Florida to California,27.28519,-83.16193
Amberjack Hole,Hole,Holes,Florida to California,30.21980,-87.34147
Amberjack Hole,Hole,Holes,Florida to California,30.39482,-81.05468
Amberjack Hole,Hole,Holes,Florida to California,30.47860,-81.08747
Amberjack Hole (AH),Hole,Holes,Florida to California,30.54149,-81.05625
Andrews Hole,Hole,Holes,Florida to California,30.15333,-87.20798
Baithole 11,Hole,Holes,Florida to California,24.49542,-81.98052
Baithole 2,Hole,Holes,Florida to California,26.99290,-82.78540
BAM Bams 20 FMS Hole,Hole,Holes,Florida to California,27.86780,-83.64975
BAM Bams Hole,Hole,Holes,Florida to California,27.80895,-83.84135
Bell Hole,Hole,Holes,Florida to California,26.49911,-78.62317
BEN S Blue Hole,Hole,Holes,Florida to California,26.52726,-78.58538
Bennys Snapper Hole,Hole,Holes,Florida to California,30.22232,-86.98136
Bernies Hole,Hole,Holes,Florida to California,30.02667,-87.16167
Bethune Hole,Hole,Holes,Florida to California,28.94735,-80.37668
Big Black Hole,Hole,Holes,Florida to California,25.84073,-82.15308
Big Fishing Hole,Hole,Holes,Florida to California,29.13182,-84.64593
Big Hole Past Edge,Hole,Holes,Florida to California,29.84387,-87.16025
Big Jacks Snapper Hole,Hole,Holes,Florida to California,29.86331,-80.89804
Black Hole,Hole,Holes,Florida to California,25.84272,-82.15190
Black Hole,Hole,Holes,Florida to California,25.85430,-82.17220
Black Hole,Hole,Holes,Florida to California,25.96528,-82.21139
Black Snapper Hole,Hole,Holes,Florida to California,30.24772,-87.16155
BO Hole,Hole,Holes,Florida to California,27.82817,-95.67778
Boca Dredge Hole,Hole,Holes,Florida to California,26.38583,-80.05805
Boca Hole,Hole,Holes,Florida to California,26.37483,-80.05420
Boynton Hole,Hole,Holes,Florida to California,26.56542,-80.02160
Bug Hole,Hole,Holes,Florida to California,29.89548,-80.45200
Bugs Holes,Hole,Holes,Florida to California,29.90798,-80.50243
