Name,Latitude,Longitude,Latitude_DMS,Longitude_DMS,Type
100 Square,39.5435 N,72.42658 W,"39° 32' 36.6"" N","72° 25' 35.69"" W",Reef
BA Wreck,40.32808 N,73.79775 W,"40° 19' 41.09"" N","73° 47' 51.9"" W",Wreck
BA Wreck,40.3271 N,73.79826 W,"40° 19' 37.56"" N","73° 47' 53.74"" W",Wreck
Bacardi,39.878 N,72.65076 W,"39° 52' 40.8"" N","72° 39' 2.74"" W",Structure
Coal Wreck,40.43569 N,73.59581 W,"40° 26' 8.48"" N","73° 35' 44.92"" W",Wreck
1 Car 1 GPS Concrete,30.20517 N,87.24667 W,"30° 12' 18.61"" N","87° 14' 48.01"" W",Structure
1 Mile Reef,27.48432 N,82.73532 W,"27° 29' 3.55"" N","82° 44' 7.15"" W",Reef
1 Mile Reef,27.49166 N,82.73333 W,"27° 29' 29.98"" N","82° 43' 59.99"" W",Reef
"1 Mile Reef, Site 05",27.48858 N,82.73583 W,"27° 29' 18.89"" N","82° 44' 8.99"" W",Reef
"1, 000 FM",38.80942 N,72.73733 W,"38° 48' 33.91"" N","72° 44' 14.39"" W",Structure
"1, 000 Mermaids Hollywood",25.98819 N,80.09437 W,"25° 59' 17.48"" N","80° 5' 39.73"" W",Structure
10 Box Cars AR,34.05445 N,77.66028 W,"34° 3' 16.02"" N","77° 39' 37.01"" W",Structure
10 Car Bodies,30.20867 N,87.23405 W,"30° 12' 31.21"" N","87° 14' 2.58"" W",Structure
10 Car Bodies GPS,30.18267 N,87.244 W,"30° 10' 57.61"" N","87° 14' 38.4"" W",Structure
10 Car Bodies GPS,30.19933 N,87.24717 W,"30° 11' 57.59"" N","87° 14' 49.81"" W",Structure
10 Car Bodies GPS,30.20283 N,87.2355 W,"30° 12' 10.19"" N","87° 14' 7.8"" W",Structure
10 Cars,30.20627 N,87.271 W,"30° 12' 22.57"" N","87° 16' 15.6"" W",Structure
10 Cars Scrap Steel,30.20382 N,87.24138 W,"30° 12' 13.75"" N","87° 14' 28.97"" W",Structure
10 Fathom Ledge,34.325 N,76.55 W,"34° 19' 30.0"" N","76° 33' 0.0"" W",Ledge
10 Fathom Ledge North,35.13907 N,75.34227 W,"35° 8' 20.65"" N","75° 20' 32.17"" W",Ledge
10 Fathom Reef,28.92213 N,80.50215 W,"28° 55' 19.67"" N","80° 30' 7.74"" W",Reef
10 Foot Ledge,33.7308 N,77.80833 W,"33° 43' 50.88"" N","77° 48' 29.99"" W",Ledge
10 Foot Ledge,27.61447 N,83.02597 W,"27° 36' 52.09"" N","83° 1' 33.49"" W",Ledge
10 Grouper Mutton Pinks Wreck,30.28937 N,80.32456 W,"30° 17' 21.73"" N","80° 19' 28.42"" W",Wreck
10 JUL Reef,26.07033 N,80.10937 W,"26° 4' 13.19"" N","80° 6' 33.73"" W",Reef
10 Ledge,33.77158 N,77.00253 W,"33° 46' 17.69"" N","77° 0' 9.11"" W",Ledge
