Name,State,Latitude,Longitude,Type
"Chocolatta Bay Boat Ramp, Mobile, AL",AL,30.6724,-88.0042,Public Boat Ramp
"Dauphin Island Boat Harbor Ramp, AL",AL,30.2522,-88.1135,Public Boat Ramp
"Fort Morgan Boat Ramp, Gulf Shores, AL",AL,30.2285,-88.0224,Public Boat Ramp
"McNally Park Boat Ramp, Mobile, AL",AL,30.6125,-88.0612,Public Boat Ramp
"Orange Beach Cotton Bayou Boat Launch, AL",AL,30.2785,-87.5742,Public Boat Ramp
"Baldwin Bridge State Boat Launch, Old Saybrook, CT",CT,41.3195,-72.3645,Public Boat Ramp
"Branford River State Boat Launch, CT",CT,41.2692,-72.8115,Public Boat Ramp
"Bridgeport East Washington Ave Boat Launch, CT",CT,41.1895,-73.1845,Public Boat Ramp
"Niantic River State Boat Launch, Waterford, CT",CT,41.3285,-72.1762,Public Boat Ramp
"Rocky Neck State Park Boat Launch, East Lyme, CT",CT,41.3015,-72.2452,Public Boat Ramp
"Stonington Barn Island Boat Launch, CT",CT,41.3412,-71.8892,Public Boat Ramp
"Thames River Boat Launch, New London, CT",CT,41.3611,-72.0933,Public Boat Ramp
"Augustine Beach Boat Ramp, DE",DE,39.4985,-75.5732,Public Boat Ramp
"Bowers Beach Public Boat Ramp, DE",DE,39.0615,-75.4015,Public Boat Ramp
"Cape Henlopen State Park Fishing Pier Boat Launch, Lewes, DE",DE,38.7915,-75.1015,Public Boat Ramp
"Fort Dupont State Park Boat Ramp, DE",DE,39.5632,-75.5784,Public Boat Ramp
"Indian River Marina State Boat Ramp, Rehoboth, DE",DE,38.6112,-75.0685,Public Boat Ramp
"Lewes Boat Ramp, DE",DE,38.7795,-75.1412,Public Boat Ramp
"Anclote River Park Boat Ramp, Tarpon Springs, FL",FL,28.1812,-82.7885,Public Boat Ramp
"Bahia Honda State Park Boat Ramp, Big Pine Key, FL",FL,24.6545,-81.2845,Public Boat Ramp
"Bayport Park Boat Ramp, Spring Hill, FL",FL,28.5515,-82.6485,Public Boat Ramp
"Billie Swamp Public Boat Ramp, Everglades City, FL",FL,25.8542,-81.3892,Public Boat Ramp
"Black Point Park Marina Boat Ramp, Homestead, FL",FL,25.5394,-80.3298,Public Boat Ramp
"Cedar Key Public Boat Ramp, FL",FL,29.1354,-83.0312,Public Boat Ramp
"Charlotte Harbor El Jobean Boat Ramp, Port Charlotte, FL",FL,26.9632,-82.2115,Public Boat Ramp
"Crandon Park Marina Boat Ramp, Key Biscayne, FL",FL,25.7225,-80.1912,Public Boat Ramp
"Curry Hammock State Park Boat Launch, Marathon, FL",FL,24.7432,-80.9845,Public Boat Ramp
"Davis Islands Boat Ramp, Tampa, FL",FL,27.9152,-82.4518,Public Boat Ramp
"Fort De Soto Park Boat Ramp, Tierra Verde, FL",FL,27.6432,-82.7115,Public Boat Ramp
"Fort Pierce Inlet State Park Boat Ramp, FL",FL,27.4725,-80.3015,Public Boat Ramp
"Fulton Road Boat Ramp, Jacksonville, FL",FL,30.3725,-81.5242,Public Boat Ramp
"Gandy Boulevard Boat Ramp, Tampa, FL",FL,27.8924,-82.5284,Public Boat Ramp
"Haulover Marine Center Boat Ramp, North Miami, FL",FL,25.9034,-80.1242,Public Boat Ramp
"John Lloyd Beach State Park Boat Ramp (Mizell-Eula Johnson), Dania Beach, FL",FL,26.0822,-80.1115,Public Boat Ramp
"John Pennekamp Coral Reef State Park Boat Launch, Key Largo, FL",FL,25.1232,-80.4085,Public Boat Ramp
"Jovian Jupiter Civic Center Boat Ramp, Jupiter, FL",FL,26.9342,-80.0945,Public Boat Ramp
"Key West Garrison Bight Boat Ramp, FL",FL,24.5645,-81.7874,Public Boat Ramp
"Leslie Porter Wayside Park Boat Ramp, Lynn Haven, FL",FL,30.2534,-85.6460,Public Boat Ramp
"Matanzas Inlet Public Boat Ramp, St. Augustine, FL",FL,29.7115,-81.2422,Public Boat Ramp
"Matheson Hammock Park Marina Boat Ramp, Coral Gables, FL",FL,25.6792,-80.2554,Public Boat Ramp
"Maximo Park Boat Ramp, St. Petersburg, FL",FL,27.7015,-82.6845,Public Boat Ramp
"Navarre Beach Marine Park Boat Ramp, FL",FL,30.3815,-86.8612,Public Boat Ramp
"Pelican Harbor Marina Boat Ramp, Miami, FL",FL,25.8482,-80.1601,Public Boat Ramp
"Phil Foster Park Boat Ramp, Riviera Beach / Blue Heron, FL",FL,26.7845,-80.0432,Public Boat Ramp
"Ponce Inlet Public Boat Ramp, Daytona Beach, FL",FL,29.0945,-80.9312,Public Boat Ramp
"Port Canaveral Boat Ramp (Freddy Patrick Park), FL",FL,28.4145,-80.6122,Public Boat Ramp
"Sebastian Inlet State Park Boat Ramp, FL",FL,27.8612,-80.4522,Public Boat Ramp
"Shoreline Park Boat Ramp, Gulf Breeze, FL",FL,30.3542,-87.1685,Public Boat Ramp
"Sister's Creek Boat Ramp, Jacksonville, FL",FL,30.3952,-81.4556,Public Boat Ramp
"St. Andrews State Park Boat Ramp, Panama City Beach, FL",FL,30.1315,-85.7342,Public Boat Ramp
"St. Joseph Peninsula State Park Boat Ramp, Port St. Joe, FL",FL,29.7612,-85.4015,Public Boat Ramp
"St. Lucie County South Causeway Boat Ramp, Fort Pierce, FL",FL,27.4612,-80.3154,Public Boat Ramp
"St. Marks National Wildlife Refuge Boat Ramp, FL",FL,30.0892,-84.1845,Public Boat Ramp
"Steinhatchee Public Boat Ramp, FL",FL,29.6712,-83.3915,Public Boat Ramp
"Venice Train Depot Boat Ramp, Venice, FL",FL,27.1012,-82.4415,Public Boat Ramp
"Blythe Island Regional Park Boat Ramp, Brunswick, GA",GA,31.1415,-81.5492,Public Boat Ramp
"Crooked River State Park Boat Ramp, St. Marys, GA",GA,30.8422,-81.5645,Public Boat Ramp
"Frank W. Spencer Park Boat Ramp, Savannah, GA",GA,32.0392,-81.0215,Public Boat Ramp
"Houlihan Boat Ramp, Savannah River, GA",GA,32.1678,-81.1542,Public Boat Ramp
"Skidaway Island State Park Boat Ramp, Savannah, GA",GA,31.9452,-81.0452,Public Boat Ramp
"St. Simons Island Marina Boat Ramp, GA",GA,31.1612,-81.3912,Public Boat Ramp
"Tybee Island Marina Boat Ramp, GA",GA,32.0084,-80.8524,Public Boat Ramp
"Bonnet Carre Spillway Boat Launch, Norco, LA",LA,30.0052,-90.4412,Public Boat Ramp
"Calcasieu Point Landing Boat Launch, Lake Charles, LA",LA,30.1092,-93.2845,Public Boat Ramp
"Fort Jackson Boat Launch, Buras, LA",LA,29.3548,-89.4512,Public Boat Ramp
"Grand Isle State Park Boat Ramp, LA",LA,29.2612,-89.9542,Public Boat Ramp
"Venice Marina Boat Launch, Venice, LA",LA,29.1482,-89.3542,Public Boat Ramp
"Barnstable Harbor Marina Boat Ramp, MA",MA,41.7042,-70.3015,Public Boat Ramp
"Boston Harbor Marina Boat Ramp, Quincy, MA",MA,42.2965,-71.0284,Public Boat Ramp
"Cashman Park Boat Ramp, Newburyport, MA",MA,42.8175,-70.8805,Public Boat Ramp
"Fall River Heritage State Park Boat Launch, MA",MA,41.7082,-71.1612,Public Boat Ramp
"Falmouth Harbor Public Boat Launch, MA",MA,41.5492,-70.6052,Public Boat Ramp
"Gloucester Harbor Public Boat Ramp, MA",MA,42.6112,-70.6655,Public Boat Ramp
"Malden River Public Boat Ramp, MA",MA,42.4045,-71.0722,Public Boat Ramp
"New Bedford Gifford Street Boat Ramp, MA",MA,41.6185,-70.9192,Public Boat Ramp
"Plymouth Harbor Public Boat Ramp, MA",MA,41.9615,-70.6652,Public Boat Ramp
"Scusset Beach State Reservation Boat Ramp, Sandwich, MA",MA,41.7762,-70.5115,Public Boat Ramp
"Shirley Street Public Boat Ramp, Winthrop, MA",MA,42.3685,-70.9762,Public Boat Ramp
"Assateague State Park Boat Ramp, Berlin, MD",MD,38.2522,-75.1485,Public Boat Ramp
"Canton Waterfront Park Boat Ramp, Baltimore, MD",MD,39.2778,-76.5742,Public Boat Ramp
"Crisfield Public Boat Ramp (Somers Cove), MD",MD,37.9815,-75.8592,Public Boat Ramp
"Matapeake State Park Boat Ramp, Kent Island, MD",MD,38.9522,-76.3584,Public Boat Ramp
"Ocean City 64th Street Public Boat Ramp, MD",MD,38.3882,-75.0652,Public Boat Ramp
"Ocean City Public Boat Ramp (1st Street / Stinky Beach), MD",MD,38.3308,-75.0945,Public Boat Ramp
"Rocky Point Park Boat Ramp, Essex, MD",MD,39.2995,-76.4025,Public Boat Ramp
"Sandy Point State Park Boat Ramp, Annapolis, MD",MD,39.0152,-76.4045,Public Boat Ramp
"Bar Harbor Town Pier Ramp, ME",ME,44.3922,-68.2042,Public Boat Ramp
"Boothbay Harbor Public Boat Launch, ME",ME,43.8522,-69.6292,Public Boat Ramp
"Cobscook Bay State Park Boat Launch, Dennysville, ME",ME,44.8762,-67.1485,Public Boat Ramp
"East End Beach Boat Launch, Portland, ME",ME,43.6698,-70.2435,Public Boat Ramp
"Eastport Water Street Boat Ramp, ME",ME,44.9044,-66.9841,Public Boat Ramp
"Kennebunkport Government Wharf Ramp, ME",ME,43.3465,-70.4772,Public Boat Ramp
"Lamoine State Park Boat Ramp, ME",ME,44.4515,-68.2985,Public Boat Ramp
"Portland Fish Pier Boat Launch, ME",ME,43.6548,-70.2452,Public Boat Ramp
"Rockland Public Landing Boat Ramp, ME",ME,44.1035,-69.1042,Public Boat Ramp
"South Portland Public Boat Ramp, ME",ME,43.6492,-70.252,Public Boat Ramp
