NAME,LATITUDE,LONGITUDE,Type
"EGMONT KEY REEF (BAY),#25",27.58283,-82.74467,Rf
"BAHIA BEACH REEF (BAY), REEF#5",27.74916667,-82.515,Rf
"BAHIA BEACH REEF (BAY), REEF#4",27.74883333,-82.515,Rf
"BAHIA BEACH REEF (BAY), REEF#3",27.7495,-82.51533333,Rf
"BAHIA BEACH REEF (BAY), REEF#2",27.74833333,-82.516,Rf
"BAHIA BEACH REEF (BAY) ,REEF#1",27.74883333,-82.51566667,Rf
BAHIA BEACH REEF (BAY),27.749,-82.51583333,Rf
WHISKEY STUMP KEY,27.8148,-82.40195,Rf
BAHIA BEACH REEF (BAY),27.74666667,-82.51466667,Rf
BAHIA BEACH REEF (BAY),27.74683333,-82.51483333,Rf
BAHIA BEACH REEF (BAY),27.74683333,-82.51466667,Rf
BAHIA BEACH REEF (BAY),27.747,-82.51516667,Rf
BAHIA BEACH REEF (BAY),27.7475,-82.51533333,Rf
BAHIA BEACH REEF (BAY),27.74816667,-82.51483333,Rf
PORT MANATEE REEF (BAY),27.66216667,-82.578,Rf
PORT MANATEE REEF (BAY),27.66283333,-82.58,Rf
PORT MANATEE REEF (BAY),27.663,-82.58033333,Rf
PORT MANATEE REEF (BAY),27.664,-82.5805,Rf
PORT MANATEE REEF (BAY),27.66416667,-82.58033333,Rf
PORT MANATEE REEF (BAY),27.66283333,-82.57983333,Rf
PORT MANATEE REEF (BAY),27.66433333,-82.58,Rf
PORT MANATEE REEF (BAY),27.66216667,-82.57766667,Rf
PORT TAMPA REEF (BAY),27.86183333,-82.56333333,Rf
PORT MANATEE REEF (BAY),27.664,-82.5785,Rf
PORT MANATEE REEF (BAY),27.66316667,-82.57766667,Rf
PORT MANATEE REEF (BAY),27.66483333,-82.58,Rf
PORT TAMPA REEF (BAY),27.86166667,-82.56333333,Rf
PORT TAMPA REEF (BAY) #6,27.86216667,-82.56316667,Rf
"EGMONT KEY REEF (BAY),#26",27.583,-82.74383333,Rf
BAHIA BEACH REEF (BAY) #5,27.7475,-82.51566667,Rf
BAHIA BEACH REEF (BAY) #4,27.74683333,-82.51583333,Rf
BAHIA BEACH REEF (BAY) #3,27.74883333,-82.51516667,Rf
"EGMONT KEY REEF (BAY),#25",27.5835,-82.742,Rf
"EGMONT KEY REEF (BAY),#24",27.58483333,-82.743,Rf
"EGMONT KEY REEF (BAY),#23",27.58466667,-82.74233333,Rf
"EGMONT KEY REEF (BAY),#22",27.5845,-82.74466667,Rf
PORT MANATEE REEF (BAY),27.66333333,-82.57966667,Rf
PORT MANATEE REEF (BAY),27.66383333,-82.57783333,Rf
PORT MANATEE REEF (BAY),27.6625,-82.58033333,Rf
BAHIA BEACH REEF (BAY) #2,27.74883333,-82.516,Rf
PORT MANATEE REEF (BAY),27.66316667,-82.58,Rf
PORT MANATEE REEF (BAY),27.66383333,-82.58,Rf
"EGMONT KEY REEF (BAY),#16",27.5845,-82.7425,Rf
"EGMONT KEY REEF (BAY),#15",27.58466667,-82.74316667,Rf
"EGMONT KEY REEF (BAY),#14",27.584,-82.74333333,Rf
"EGMONT KEY REEF (BAY),#13",27.5825,-82.74483333,Rf
"EGMONT KEY REEF (BAY), #12",27.58216667,-82.74433333,Rf
"EGMONT KEY REEF (BAY), #11",27.5825,-82.74433333,Rf
"EGMONT KEY REEF (BAY), #10",27.58183333,-82.7445,Rf
"EGMONT KEY REEF (BAY), #9",27.5845,-82.74416667,Rf
"EGMONT KEY REEF (BAY),#8",27.58416667,-82.74466667,Rf
"EGMONT KEY REEF (BAY), #7",27.584,-82.744,Rf
"EGMONT KEY REEF (BAY), #6",27.58366667,-82.744,Rf
"BAHIA BEACH REEF (BAY), #1",27.74733333,-82.51483333,Rf
"EGMONT KEY REEF (BAY), #5",27.58383333,-82.74366667,Rf
"EGMONT KEY REEF (BAY), #4",27.58416667,-82.74216667,Rf
"EGMONT KEY REEF (BAY), #3",27.584,-82.74283333,Rf
"EGMONT KEY REEF (BAY), #2",27.58433333,-82.74233333,Rf
"EGMONT KEY REEF (BAY), #1",27.58433333,-82.74416667,Rf
PORT TAMPA REEF (BAY),27.86047,-82.56316667,Rf
BAHIA BEACH REEF  (BAY),27.7485,-82.51483333,Rf
EGMONT KEY REEF,27.58333333,-82.74333333,Rf
PORT MANATEE REEF (BAY),27.6618,-82.5799,Rf
CHAMBERLAIN HIGH SCHOOL (BAY),27.86083333,-82.56333333,Rf
BAHIA BEACH REEF(BAY),27.74801667,-82.51601667,Rf
HOWARD FRANKLIN SITE (BAY),27.9105,-82.55383333,Rf
COURTNEY CAMPBELL SITE (BAY),27.9625,-82.61433333,Rf
PORT MANATEE SITE  (BAY),27.6623,-82.57905,Rf
PICNIC ISLAND PIER REEF (BAY),27.8565,-82.55333333,Rf
BAHIA BEACH REEF  (BAY),27.74888333,-82.5163,Rf
BALLAST POINT PIER (BAY),27.88788333,-82.47915,Rf
PICNIC ISLAND REEF (BAY),27.83278333,-82.5601,Rf
PORT TAMPA SITE (BAY),27.86083333,-82.564,Rf
SOUTHEAST TAMPA BAY BRIDGE REEF,27.54783,-82.67377,Rf
3 MILE NORTH BRIDGE REEF,27.4984,-82.78243,Rf
2011 FLORIDA LIMESTONEBEACH REEF SOUTH,27.45137,-82.69777,Rf
2011 FLORIDA LIMESTONEBEACH REEF NORTH,27.45308,-82.69803,Rf
"7 MILE NORTH REEF, SITE ""09-01-07""",27.539,-82.87788,Rf
"SOUTHEAST TAMPA BAY, SITE 01-07 REEFBALLS",27.54833,-82.67237,Rf
"7 MILE NORTH REEF, SITE ""07-01-05""",27.5397,-82.87907,Rf
"1 MILE REEF, SITE 05-7",27.4895,-82.73466667,Rf
"7 MILE NORTH REEF, SITE ""06-02-04""",27.53963,-82.87882,Rf
"1 MILE REEF, SITE 05-6",27.48893333,-82.73333333,Rf
"1 MILE REEF, SITE 05-5",27.48858333,-82.7335,Rf
"1 MILE REEF, SITE 05-4",27.48858333,-82.73416667,Rf
"1 MILE REEF, SITE 05-3",27.48858333,-82.73483333,Rf
"1 MILE REEF, SITE 05-2",27.48858333,-82.73583333,Rf
"1 MILE REEF, SITE 05-1",27.48893333,-82.736,Rf
"SOUTHEAST TAMPA, 04-12",27.54861667,-82.67151667,Rf
"MANATEE RIVER-EMERSON POINT,04-18",27.5306,-82.64611667,Rf
"THE BULKHEAD REEF,04-12",27.55345,-82.70613333,Rf
"1 MILE REEF, SITE 03-ER",27.49016667,-82.73466667,Rf
"1 MILE REEF, SITE 03--2",27.4899,-82.7353,Rf
"1 MILE REEF, SITE 03--1",27.49056667,-82.73593333,Rf
"1 MILE REEF, SITE 3-13",27.49043333,-82.73333333,Rf
"1 MILE REEF, SITE 3-12",27.48978333,-82.73396667,Rf
"1 MILE REEF, SITE 3-10",27.48978333,-82.73461667,Rf
"7 MILE SOUTH REEF, SITE 'P'-02-05",27.44298333,-82.8209,Rf
"7 MILE SOUTH REEF, SITE 'P'-02-06",27.44321667,-82.82025,Rf
"7 MILE SOUTH REEF, SITE 'P'-02-07",27.44425,-82.82128333,Rf
"7 MILE SOUTH REEF, SITE 'P'-02-04",27.4421,-82.82018333,Rf
"7 MILE SOUTH REEF, SITE 'P'-02-03",27.44143333,-82.8193,Rf
"7 MILE SOUTH REEF, SITE 'P'-02-08",27.4447,-82.8197,Rf
"7 MILE SOUTH REEF, SITE 'P'-02-02",27.44253333,-82.81891667,Rf
"7 MILE SOUTH REEF, SITE 'P'-02-01",27.44381667,-82.81881667,Rf
"7 MILE SOUTH REEF, SITE ER-9",27.44181667,-82.82051667,Rf
"3 MILE SOUTH REEF, SITE 'D'-01-10",27.44416667,-82.7475,Rf
"3 MILE SOUTH REEF, SITE 'D'-01-12",27.44325,-82.74751667,Rf
"3 MILE SOUTH REEF, SITE 'D'-01-13",27.44176667,-82.74763333,Rf
"3 MILE SOUTH REEF, SITE 'D'-01-4",27.44116667,-82.74793333,Rf
"3 MILE SOUTH REEF, SITE 'D'-01-5",27.44163333,-82.74846667,Rf
"3 MILE SOUTH REEF, SITE 'D'-01-6",27.44251667,-82.74846667,Rf
"3 MILE SOUTH REEF, SITE 'D'-01-7",27.44315,-82.74853333,Rf
"3 MILE SOUTH REEF, SITE 'D'-01-8",27.44375,-82.74853333,Rf
"3 MILE SOUTH REEF, SITE 'D'-01-9",27.44426667,-82.74848333,Rf
"3 MILE SOUTH REEF, SITE 'D'-01-11",27.44373333,-82.74745,Rf
"3 MILE SOUTH REEF, SITE 'D'-01-1",27.44386667,-82.74665,Rf
"3 MILE SOUTH REEF, SITE 'D'-01-2",27.43921667,-82.7466,Rf
"3 MILE SOUTH REEF, SITE 'D'-01-3",27.4413,-82.7466,Rf
"7 MILE SOUTH REEF, SITE 'C'-00-07",27.44388333,-82.81991667,Rf
"7 MILE SOUTH REEF, SITE 'C'-00-06",27.4441,-82.8201,Rf
"7 MILE SOUTH REEF, SITE 'C'-00-05",27.44145,-82.81993333,Rf
"7 MILE SOUTH REEF, SITE 'C'-00-04A",27.44253333,-82.81975,Rf
"7 MILE SOUTH REEF, SITE 'C'-00-04A",27.4425,-82.81995,Rf
"7 MILE SOUTH REEF, SITE 'C'-00-04",27.44156667,-82.81876667,Rf
"7 MILE SOUTH REEF, SITE 'C'-00-03",27.44321667,-82.81886667,Rf
"7 MILE SOUTH REEF, SITE 'C'-00-02",27.44463333,-82.81895,Rf
"7 MILE SOUTH REEF, SITE 'C'-00-01",27.44478333,-82.82108333,Rf
"3 MILE SOUTH REEF, SITE D",27.44183333,-82.74816667,Rf
"3 MILE SOUTH REEF, SITE D",27.44416667,-82.74816667,Rf
"3 MILE SOUTH REEF, SITE D",27.444,-82.74816667,Rf
"3 MILE SOUTH REEF, SITE D",27.44283333,-82.74816667,Rf
"3 MILE SOUTH REEF, SITE D",27.44333333,-82.748,Rf
"3 MILE SOUTH REEF, SITE D",27.44133333,-82.74833333,Rf
"3 MILE SOUTH REEF, SITE D",27.44383333,-82.74683333,Rf
"3 MILE SOUTH REEF, SITE D",27.44416667,-82.747,Rf
"3 MILE SOUTH REEF, SITE D",27.4415,-82.74733333,Rf
"3 MILE SOUTH REEF, SITE D",27.4425,-82.74733333,Rf
"3 MILE SOUTH REEF, SITE D",27.44183333,-82.74683333,Rf
SOUTH 3 MILE REEF,27.44216667,-82.74766667,Rf
SOUTH 3 MILE REEF,27.44316667,-82.74766667,Rf
SOUTH 3 MILE REEF,27.4435,-82.74666667,Rf
NEAR SHORE REEF,27.44968333,-82.69693333,Rf
1 MILE REEF,27.49166667,-82.73333333,Rf
3 MILE REEF SOUTH,27.44588333,-82.74641667,Rf
7 MILE REEF SOUTH,27.44508,-82.81941667,Rf
3 MILE REEF -NORTH (B REEF),27.49933333,-82.784,Rf
MISENER BARGE,27.54463333,-82.8451,Rf
1 MILE REEF,27.48431667,-82.73531667,Rf
3 MILE REEF NORTH,27.49283333,-82.78333333,Rf
7 MILE REEF NORTH,27.53693333,-82.87833333,Rf
K2 SAILBOAT,27.69595,-83.292,Rf
SILVER NAIL,27.69613333,-83.29131667,Rf
RUBE ALLYN REEF SITE 10,27.9309,-83.02195,Rf
RUBE ALLYN REEF SITE 9,27.93368333,-83.02523333,Rf
WJ SHRIMPBOAT,27.69477,-83.29245,Rf
PINELLAS SOUTH SITE #7,27.72428,-82.97367,Rf
"SAND KEY NOURISHMENT  REEF,IMR#1-10",27.89008333,-82.85398333,Rf
"SAND KEY NOURISHMENT  REEF,IMR#1-9",27.89021667,-82.85383333,Rf
"SAND KEY NOURISHMENT  REEF,IMR#1-6",27.89038333,-82.854,Rf
"SAND KEY NOURISHMENT  REEF,IMR#1-5",27.89013333,-82.8542,Rf
"SAND KEY NOURISHMENT  REEF,IMR#1-3",27.89026667,-82.85415,Rf
"SAND KEY NOURISHMENT  REEF,IMR#1-2",27.89045,-82.85415,Rf
RUBE ALLYN REEF SITE 8(2)-LOAD #16,27.93076667,-83.02461667,Rf
PINELLAS SOUTH SITE 5 (13)-LOAD #29,27.72411667,-82.97683333,Rf
RUBE ALLYN REEF SITE 8(2)-LOAD #15,27.93063333,-83.02475,Rf
RUBE ALLYN REEF SITE 8(2)-LOAD #12,27.93065,-83.02453333,Rf
PINELLAS SOUTH SITE 5 (13)-LOAD #25,27.72391667,-82.97685,Rf
RUBE ALLYN REEF SITE 8(2)-LOAD #7,27.93053333,-83.02463333,Rf
RUBE ALLYN REEF SITE 8(2)-LOAD #6,27.93061667,-83.02498333,Rf
RUBE ALLYN REEF SITE 8(1)-LOAD #2,27.9308,-83.0291,Rf
PINELLAS SOUTH SITE 5 (12)-LOAD #22,27.72413333,-82.97643,Rf
RUBE ALLYN REEF SITE 8(1)-LOAD #1,27.93046667,-83.0249,Rf
PINELLAS SOUTH SITE 5-(11)-LOAD #19,27.72426667,-82.97648333,Rf
PINELLAS SOUTH SITE 5-(11)-LOAD #18,27.72403333,-82.97658333,Rf
PINELLAS SOUTH SITE 5-(11)-LOAD #17,27.7244,-82.97656667,Rf
JOHNS PASS BRIDGE LOAD #27,27.86262,-83.02903,Rf
PINELLAS SOUTH SITE 5-(9)-LOAD #11,27.7246,-82.97671667,Rf
