id,name,lat,lng,type
1,100 Square,39.5435,-72.42658,Reef
2,BA Wreck,40.32808,-73.79775,Wreck
3,BA Wreck,40.3271,-73.79826,Wreck
4,Bacardi,39.878,-72.65076,Structure
5,Coal Wreck,40.43569,-73.59581,Wreck
6,1 Car 1 GPS Concrete,30.20517,-87.24667,Structure
7,1 Mile Reef,27.48432,-82.73532,Reef
8,1 Mile Reef,27.49166,-82.73333,Reef
9,"1 Mile Reef, Site 05",27.48858,-82.73583,Reef
10,"1, 000 FM",38.80942,-72.73733,Structure
11,"1, 000 Mermaids Hollywood",25.98819,-80.09437,Structure
12,10 Box Cars AR,34.05445,-77.66028,Structure
13,10 Car Bodies,30.20867,-87.23405,Structure
14,10 Car Bodies GPS,30.18267,-87.244,Structure
15,10 Car Bodies GPS,30.19933,-87.24717,Structure
16,10 Car Bodies GPS,30.20283,-87.2355,Structure
17,10 Cars,30.20627,-87.271,Structure
18,10 Cars Scrap Steel,30.20382,-87.24138,Structure
19,10 Fathom Ledge,34.325,-76.55,Ledge
20,10 Fathom Ledge North,35.13907,-75.34227,Ledge
21,10 Fathom Reef,28.92213,-80.50215,Reef
22,10 Foot Ledge,33.7308,-77.80833,Ledge
23,10 Foot Ledge,27.61447,-83.02597,Ledge
24,10 Grouper Mutton Pinks Wreck,30.28937,-80.32456,Wreck
25,10 JUL Reef,26.07033,-80.10937,Reef
26,10 Ledge,33.77158,-77.00253,Ledge
27,10 Ledge,34.06533,-77.00833,Ledge
28,10 Ledge,28.28512,-82.97002,Ledge
29,10 Ledge,27.75532,-83.15075,Ledge
30,10 Ledge,27.62917,-83.01992,Ledge
31,10 Ledge 6,24.44274,-81.95901,Ledge
32,10 Mile Rocks,34.08397,-77.6366,Rock
33,10 Pound Ledge,42.59758,-70.67033,Ledge
34,10 Train Cars,34.25948,-77.50363,Structure
35,10 Train Cars,34.35093,-77.32942,Structure
36,100 Degree Rock,34.42415,-76.49325,Rock
37,100 Fathom Ledge,34.21482,-76.07982,Ledge
38,100 Fathom Slab Rock,36.19756,-74.75623,Rock
39,100 Flat Steel Barge,30.09599,-87.57136,Reef
40,100 FM,39.04987,-72.7636,Structure
41,1001 Mississippi Canyon,28.65767,-89.15467,Canyon
42,100 Foot Ship And USN Intruder Plane Wrecks,29.35345,-80.35812,Structure
43,100 Ydledge,30.31733,-80.38983,Ledge
44,1021 Mississippi Canyon,28.78783,-89.05383,Canyon
45,1035 Mississippi Canyon,28.8575,-88.919,Canyon
46,107 Wreck,24.50882,-81.82851,Wreck
47,116 Hole,30.13883,-87.18317,Hole
48,116 Hole,30.16127,-87.17013,Hole
